1351307	广东	惠州	移动	516000	0752	441300
1301308	山西	太原	联通	516000	0752	441300
1361309	河南	洛阳	电信	516000	0752	441300
1501310	北京	北京	移动	516000	0752	441300
1391311	陕西	西安	联通	516000	0752	441300
1551312	山东	青岛	电信	516000	0752	441300
1351307	广东	惠州	移动	516000	0752	441300
1301308	山西	太原	联通	516000	0752	441300
1361309	河南	洛阳	电信	516000	0752	441300
1501310	北京	北京	移动	516000	0752	441300
1391311	陕西	西安	联通	516000	0752	441300
1551312	山东	青岛	电信	516000	0752	441300
1351307	广东	惠州	移动	516000	0752	441300
1301308	山西	太原	联通	516000	0752	441300
1361309	河南	洛阳	电信	516000	0752	441300
1501310	北京	北京	移动	516000	0752	441300
1391311	陕西	西安	联通	516000	0752	441300
1551312	山东	青岛	电信	516000	0752	441300
1351307	广东	惠州	移动	516000	0752	441300
1301308	山西	太原	联通	516000	0752	441300
1361309	河南	洛阳	电信	516000	0752	441300
1501310	北京	北京	移动	516000	0752	441300
1391311	陕西	西安	联通	516000	0752	441300
1551312	山东	青岛	电信	516000	0752	441300
1351307	广东	惠州	移动	516000	0752	441300
1301308	山西	太原	联通	516000	0752	441300
1361309	河南	洛阳	电信	516000	0752	441300
1501310	北京	北京	移动	516000	0752	441300
1391311	陕西	西安	联通	516000	0752	441300
1551312	山东	青岛	电信	516000	0752	441300
1351307	广东	惠州	移动	516000	0752	441300
1301308	山西	太原	联通	516000	0752	441300
1361309	河南	洛阳	电信	516000	0752	441300
1501310	北京	北京	移动	516000	0752	441300
1391311	陕西	西安	联通	516000	0752	441300
1551312	山东	青岛	电信	516000	0752	441300
1351307	广东	惠州	移动	516000	0752	441300
1301308	山西	太原	联通	516000	0752	441300
1361309	河南	洛阳	电信	516000	0752	441300
1501310	北京	北京	移动	516000	0752	441300
1391311	陕西	西安	联通	516000	0752	441300
1551312	山东	青岛	电信	516000	0752	441300
1351307	广东	惠州	移动	516000	0752	441300
1301308	山西	太原	联通	516000	0752	441300
1361309	河南	洛阳	电信	516000	0752	441300
